Area Code,Year Code,Value
61,2007,72496
61,2008,76980
61,2009,81244
61,2010,85464
61,2011,91000
61,2012,95000
61,2013,92000
61,2014,91079
61,2015,106330
61,2016,110835
61,2017,115262
61,2018,119688
61,2019,124115
209,1961,6895
209,1962,7600
209,1963,7800
209,1964,7900
209,1965,7800
209,1966,7900
209,1967,7900
209,1968,8000
209,1969,8100
209,1970,8300
209,1971,6872
209,1972,6864
209,1973,4217
209,1974,7013
209,1975,8519
209,1976,10283
209,1977,3137
209,1978,9000
209,1979,10000
209,1980,8400
209,1981,2039
209,1982,1192
209,1983,720
209,1984,2684
209,1985,5007
209,1986,4541
209,1987,4500
209,1988,3843
209,1989,6165
209,1990,1417
209,1991,1000
209,1992,2250
209,1993,2310
209,1994,2300
209,1995,2211
209,1996,2252
209,1997,2400
209,1998,2500
209,1999,2300
209,2000,2341
209,2001,2400
209,2002,2401
209,2003,2500
209,2004,2460
209,2005,2600
209,2006,2300
209,2007,2409
209,2008,2441
209,2009,2500
209,2010,2600
209,2011,2474
209,2012,2300
209,2013,2400
209,2014,2486
209,2015,2483
209,2016,2444
209,2017,2449
209,2018,2453
209,2019,2458
238,1993,167654
238,1994,155000
238,1995,157000
238,1996,159000
62,1961,80000
62,1962,80000
62,1963,80000
62,1964,88000
62,1965,88000
62,1966,96000
62,1967,96000
62,1968,104000
62,1969,104000
62,1970,104000
62,1971,112000
62,1972,112000
62,1973,120000
62,1974,120000
62,1975,120000
62,1976,122000
62,1977,122000
62,1978,125000
62,1979,130000
62,1980,130000
62,1981,138000
62,1982,138000
62,1983,142000
62,1984,142000
62,1985,148000
62,1986,148000
62,1987,145200
62,1988,142600
62,1989,144000
62,1990,152000
62,1991,152800
62,1992,153600
66,1961,1500
66,1962,1500
66,1963,1500
66,1964,1600
66,1965,1900
66,1966,1600
66,1967,1600
66,1968,1600
66,1969,1600
66,1970,2500
66,1971,1700
66,1972,2500
66,1973,2500
66,1974,2500
66,1975,1050
66,1976,650
66,1977,500
66,1978,1000
66,1979,1000
66,1980,800
66,1981,800
66,1982,800
66,1983,1500
66,1984,1500
66,1985,4800
66,1986,2130
66,1987,4376
66,1988,2029
66,1989,1423
66,1990,3211
66,1991,2552
66,1992,1644
66,1993,4240
66,1994,4258
66,1995,3976
66,1996,7821
66,1997,5475
66,1998,7370
66,1999,5224
66,2000,6495
66,2001,5413
66,2002,7221
66,2003,6991
66,2004,5752
66,2005,4555
66,2006,4749
66,2007,2294
66,2008,4611
66,2009,4894
66,2010,7464
66,2011,7053
66,2012,7850
66,2013,8546
66,2014,8581
66,2015,8364
66,2016,7724
66,2017,8411
66,2018,8542
66,2019,9053
74,1961,2000
74,1962,2000
74,1963,2000
74,1964,2000
74,1965,2000
74,1966,2000
74,1967,2000
74,1968,2000
74,1969,3000
74,1970,3000
74,1971,3000
74,1972,3000
74,1973,3000
74,1974,2000
74,1975,1040
74,1976,1000
74,1977,1000
74,1978,1100
74,1979,1200
74,1980,1300
74,1981,1300
74,1982,1200
74,1983,1300
74,1984,1300
74,1985,1300
74,1986,1500
74,1987,1500
74,1988,1800
74,1989,1800
74,1990,1900
74,1991,2000
74,1992,2100
74,1993,2200
74,1994,2300
74,1995,2400
74,1996,2500
74,1997,2600
74,1998,2700
74,1999,2800
74,2000,2871
74,2001,2920
74,2002,2951
74,2003,2953
74,2004,2961
74,2005,2969
74,2006,2978
74,2007,3000
74,2008,3054
74,2009,3124
74,2010,3219
74,2011,3345
74,2012,3500
74,2013,3700
74,2014,3907
74,2015,3780
74,2016,3910
74,2017,4030
74,2018,4136
74,2019,4227
81,1996,89600
81,1997,66200
81,1998,91100
81,1999,90000
81,2000,89881
81,2001,91493
81,2002,95422
81,2003,97591
81,2004,100719
81,2005,95000
81,2006,107027
81,2007,111312
81,2008,114611
81,2009,117879
81,2010,120000
81,2011,130000
81,2012,135000
81,2013,135000
81,2014,138264
81,2015,141622
81,2016,144259
81,2017,147592
81,2018,150926
81,2019,154260
84,1961,1945
84,1962,1869
84,1963,1687
84,1964,1400
84,1965,1620
84,1966,1971
84,1967,2230
84,1968,1674
84,1969,1882
84,1970,2178
84,1971,1877
84,1972,2338
